layer,n_seed_pairs,raw_diag_mean,matched_mean,random_perm_mean,matched_minus_random_mean,matched_minus_random_min,matched_minus_random_max
0,36,0.7135369247860379,0.820496948228942,0.7092467899041043,0.11125015832483766,0.08135271847248082,0.13713578492403034
1,36,0.7255836741791831,0.8491833541128371,0.7300352643430233,0.11914808976981374,0.08954302519559865,0.15524082005023954
2,36,0.7303232865201102,0.8195923036999173,0.7278741996983686,0.09171810400154855,0.057813992202282005,0.133483057320118
3,36,0.6854391578170989,0.791227305928866,0.6797164441314009,0.11151086179746522,0.051032931804656956,0.19115928471088406
4,36,0.7027755313449435,0.787354106704394,0.7037772473196189,0.08357685938477516,0.035626153945922834,0.16213737696409225
5,36,0.8464952955643336,0.902665537264612,0.8451675385402306,0.05749799872438113,0.03413666456937792,0.1514570358395576
6,36,0.828699486123191,0.8890291833215289,0.828105335906148,0.060923847415381004,0.03026650965213773,0.10831230908632283
7,36,0.7921298245588938,0.8627645489242342,0.7891518799629477,0.07361266896128654,0.05577022999525072,0.12115638405084606
8,36,0.6889440582858192,0.804494740234481,0.6903287138789892,0.11416602635549172,0.07750487864017486,0.18370620548725125
9,36,0.686057867275344,0.7818552901347479,0.6848064449181159,0.09704884521663189,0.06549452126026156,0.16422507941722875
10,36,0.6719999329911338,0.7820350031057993,0.6767739087177647,0.10526109438803462,0.05903710812330243,0.15066795825958257
11,36,0.48039183931218254,0.6612942980395423,0.4895069047229157,0.1717873933166265,0.1191369590163231,0.2272010166943073
