layer,n_seed_pairs,raw_diag_mean,matched_mean,random_perm_mean,matched_minus_random_mean,matched_minus_random_min,matched_minus_random_max
0,36,0.8467683874898486,0.8939538763629066,0.8437913532141182,0.05016252314878834,0.03160236954689022,0.09513608694076536
1,36,0.4746810764902168,0.7388745993375778,0.4704415107756439,0.26843308856193393,0.12609704852104187,0.4401360411942005
2,36,0.5029167739881409,0.6994176672564613,0.5078274966672891,0.1915901705891722,0.10131421864032741,0.3467677044868469
3,36,0.2677322351632433,0.6377467960119247,0.2894349842367723,0.3483118117751524,0.1576788914203644,0.536027278918773
4,36,0.1369832065797204,0.6087479603787264,0.146858875968136,0.46188908441059046,0.24840856776427245,0.754968754623551
5,36,0.17254976092630792,0.6777181393570371,0.15796149428386166,0.5197566450731754,0.23556562536163256,0.7446894870791584
6,36,0.10970000568259922,0.5813938594526715,0.11563224613704835,0.4657616133156232,0.3587215749541065,0.6290209885916557
7,36,0.09074698298031257,0.48911549813217586,0.050197814312957945,0.43891768381921786,0.311606293204095,0.6645903754478786
8,36,0.2074114536970026,0.5185711044404242,0.22363959165390346,0.29493151278652074,0.21568843469023702,0.3620503720268607
9,36,0.44908952506052124,0.6604715055889554,0.43356439429862403,0.22690711129033136,0.0823457923531532,0.4020840536768082
10,36,0.575577030579249,0.7360096557272805,0.5691808656437529,0.16682879008352758,0.046606920659542084,0.3992577267438173
11,36,0.648230848626958,0.7886099136537976,0.64409091413435,0.14451899951944747,0.022441141307353973,0.4824260936677456
