config,seed,head_dims_json,eval_loss,eval_accuracy,top_layer,top_head,top_head_dim,role_metric,top_role_score,top_specialization,random_same_layer_role_score_mean,own_top_loss_delta,own_top_accuracy_delta,random_same_layer_loss_delta_mean,random_same_layer_accuracy_delta_mean
uniform4,1,"[32, 32, 32, 32]",0.00992325390689075,0.998046875,1,1,32,ablation,0.11951673706062138,0.3138185727821881,0.07175086415372789,0.11951673706062138,-0.017578125,0.07175086415372789,-0.0068359375
uniform4,2,"[32, 32, 32, 32]",0.003212121839169413,1.0,1,1,32,ablation,0.1220267717144452,0.3809523326589133,0.06834359728964046,0.1220267717144452,-0.025390625,0.06834359728964046,-0.00927734375
uniform4,3,"[32, 32, 32, 32]",0.009481262357439846,0.998046875,0,2,32,ablation,0.2550702430889942,0.9179413012857919,0.00840168802824337,0.2550702430889942,-0.064453125,0.006514644126582425,0.0
uniform4,4,"[32, 32, 32, 32]",0.00315868912730366,1.0,1,0,32,ablation,0.10746548825409263,0.2948919247211792,0.08482324273791164,0.10746548825409263,-0.01953125,0.08482324273791164,-0.009765625
uniform4,5,"[32, 32, 32, 32]",0.0024924827157519758,1.0,1,3,32,ablation,0.08605896407971159,0.299580358740564,0.06140683317789808,0.08605896407971159,-0.005859375,0.06140683317789808,-0.00732421875
hetero4,1,"[16, 16, 32, 64]",0.002904827706515789,1.0,1,3,64,ablation,1.0800177501514554,0.9552860740111255,0.008617263621999882,1.0800177501514554,-0.25,0.008617263621999882,-0.001220703125
hetero4,2,"[16, 16, 32, 64]",0.003342451178468764,1.0,1,3,64,ablation,1.0206686839228496,0.9595427418265599,0.020929566053382587,1.0206686839228496,-0.23828125,0.020929566053382587,-0.0029296875
hetero4,3,"[16, 16, 32, 64]",0.041518932092003524,0.9921875,0,3,64,ablation,3.2722452228190377,0.9998389554965021,0.00019764824537560344,3.2722452228190377,-0.587890625,-0.0020453758916119114,0.001953125
hetero4,4,"[16, 16, 32, 64]",0.0082903016009368,0.998046875,1,3,64,ablation,1.2450942289433442,0.95584749918138,0.0215138651401503,1.2450942289433442,-0.279296875,0.0215138651401503,0.0
hetero4,5,"[16, 16, 32, 64]",0.0023885854170657694,1.0,0,3,64,ablation,1.4237998537137173,0.9999461184578389,2.8770249627996236e-05,1.4237998537137173,-0.271484375,-2.9120499675627798e-05,0.0
uniform2,1,"[64, 64]",0.011816996207926422,0.998046875,0,0,64,ablation,1.042173621186521,1.0,0.0,1.042173621186521,-0.201171875,-0.0032952672336250544,0.0
uniform2,2,"[64, 64]",0.0034142403746955097,1.0,1,0,64,ablation,0.448680120811332,0.5231114766874017,0.40903403918491676,0.448680120811332,-0.091796875,0.40903403918491676,-0.083984375
uniform2,3,"[64, 64]",0.002588480885606259,1.0,1,0,64,ablation,0.649396538559813,0.6503002204176508,0.34921382350148633,0.649396538559813,-0.140625,0.34921382350148633,-0.060546875
uniform2,4,"[64, 64]",0.0050642204587347806,1.0,0,0,64,ablation,1.93924257036997,1.0,0.0,1.93924257036997,-0.357421875,-0.0006023200112394989,0.0
uniform2,5,"[64, 64]",0.002627300738822669,1.0,1,1,64,ablation,0.5919635270838626,0.6786369527456845,0.28031954664038494,0.5919635270838626,-0.107421875,0.28031954664038494,-0.0546875
