config,seed,layer,head,head_dim,role,attention_role_score,ablation_accuracy_delta,role_score,specialization
hetero4_64first,1,0,0,64,single_head_ablation_loss_delta,0.08526618778705597,-0.330078125,1.7312820022343658,0.9993045661023068
hetero4_64first,1,0,1,16,single_head_ablation_loss_delta,0.08828014135360718,0.0,0.0,0.0
hetero4_64first,1,0,2,16,single_head_ablation_loss_delta,0.09628108143806458,0.0,0.0,0.0
hetero4_64first,1,0,3,32,single_head_ablation_loss_delta,0.08364878594875336,-0.001953125,0.0012048300704918802,0.0006954338976931814
hetero4_64first,1,1,0,64,single_head_ablation_loss_delta,0.9862313270568848,-0.1953125,0.8857116614817642,0.9165600028257428
hetero4_64first,1,1,1,16,single_head_ablation_loss_delta,0.6841835975646973,0.0,0.003925891884136945,0.004062626284493382
hetero4_64first,1,1,2,16,single_head_ablation_loss_delta,0.7855710387229919,0.0,0.006059630366507918,0.006270680479195435
hetero4_64first,1,1,3,32,single_head_ablation_loss_delta,0.9458481073379517,-0.0078125,0.07064616394927725,0.07310669041056835
hetero4_64first,2,0,0,64,single_head_ablation_loss_delta,0.0817207619547844,-0.109375,0.5594989707460627,0.9995462333675799
hetero4_64first,2,0,1,16,single_head_ablation_loss_delta,0.08640508353710175,0.0,1.5554483979940414e-05,2.7788122386345276e-05
hetero4_64first,2,0,2,16,single_head_ablation_loss_delta,0.07822059094905853,0.0,0.0,0.0
hetero4_64first,2,0,3,32,single_head_ablation_loss_delta,0.07969432324171066,0.0,0.0002384427352808416,0.0004259785100337566
hetero4_64first,2,1,0,64,single_head_ablation_loss_delta,0.9923399090766907,-0.279296875,1.3043749084463343,0.9857110139061188
hetero4_64first,2,1,1,16,single_head_ablation_loss_delta,0.7210524082183838,0.0,0.002180157578550279,0.0016475365505057326
hetero4_64first,2,1,2,16,single_head_ablation_loss_delta,0.6460328102111816,0.0,0.002085697720758617,0.0015761536056220777
hetero4_64first,2,1,3,32,single_head_ablation_loss_delta,0.9008532762527466,-0.001953125,0.014642521156929433,0.011065295937753416
hetero4_64first,3,0,0,64,single_head_ablation_loss_delta,0.08211635798215866,-0.0078125,0.02943012601463124,0.9565724805449338
hetero4_64first,3,0,1,16,single_head_ablation_loss_delta,0.0797993466258049,0.0,0.0005761986249126494,0.018728283652107193
hetero4_64first,3,0,2,16,single_head_ablation_loss_delta,0.0780056044459343,0.0,0.00042728253174573183,0.013888038096824148
hetero4_64first,3,0,3,32,single_head_ablation_loss_delta,0.08489279448986053,0.0,0.00033261976204812527,0.010811197706134848
hetero4_64first,3,1,0,64,single_head_ablation_loss_delta,0.9903202056884766,-0.23046875,1.0307590148295276,0.9192425834461738
hetero4_64first,3,1,1,16,single_head_ablation_loss_delta,0.594372034072876,0.0,0.0010593915358185768,0.0009447773905018303
hetero4_64first,3,1,2,16,single_head_ablation_loss_delta,0.6562600135803223,0.0,0.002765267330687493,0.002466096777626415
hetero4_64first,3,1,3,32,single_head_ablation_loss_delta,0.952752947807312,-0.005859375,0.08672971342457458,0.07734654238569788
hetero4_64first,4,0,0,64,single_head_ablation_loss_delta,0.0790158212184906,-0.3828125,1.9858221368631348,0.9998401140103098
hetero4_64first,4,0,1,16,single_head_ablation_loss_delta,0.07905919849872589,0.0,0.0,0.0
hetero4_64first,4,0,2,16,single_head_ablation_loss_delta,0.08534524589776993,0.0,0.0,0.0
hetero4_64first,4,0,3,32,single_head_ablation_loss_delta,0.08017076551914215,0.0,0.00031755591044202447,0.00015988598969016545
hetero4_64first,4,1,0,64,single_head_ablation_loss_delta,0.9884145259857178,-0.224609375,1.058503802283667,0.9509201327351194
hetero4_64first,4,1,1,16,single_head_ablation_loss_delta,0.6455243229866028,0.0,0.002286709612235427,0.0020542941870423724
hetero4_64first,4,1,2,16,single_head_ablation_loss_delta,0.6523077487945557,-0.001953125,0.008156077121384442,0.0073271139150677365
hetero4_64first,4,1,3,32,single_head_ablation_loss_delta,0.9360015988349915,0.0,0.044189799460582435,0.039698459162770414
hetero4_64first,5,0,0,64,single_head_ablation_loss_delta,0.07845943421125412,-0.26171875,1.2384193832986057,0.9995177882219752
hetero4_64first,5,0,1,16,single_head_ablation_loss_delta,0.10348561406135559,0.0,0.0,0.0
hetero4_64first,5,0,2,16,single_head_ablation_loss_delta,0.09056757390499115,-0.001953125,0.0005974685191176832,0.0004822117780247747
hetero4_64first,5,0,3,32,single_head_ablation_loss_delta,0.07942753285169601,0.0,0.0,0.0
hetero4_64first,5,1,0,64,single_head_ablation_loss_delta,0.9843780994415283,-0.19921875,0.7878522421233356,0.8575988559310619
hetero4_64first,5,1,1,16,single_head_ablation_loss_delta,0.7606168389320374,-0.001953125,0.004574570921249688,0.0049795463904068965
hetero4_64first,5,1,2,16,single_head_ablation_loss_delta,0.6524010896682739,0.0,0.0019965084502473474,0.0021732544140183876
hetero4_64first,5,1,3,32,single_head_ablation_loss_delta,0.9594148397445679,-0.015625,0.12424889532849193,0.1352483432645128
