config,seed,layer,head,head_dim,role,match_attention_score,source_next_attention_score,ablation_accuracy_delta,role_score,specialization
uniform4,1,0,0,32,repeat_next_single_head_ablation_loss_delta,0.007343336474150419,0.06448644399642944,-0.0042968690395355225,0.019321169995237142,0.18288060625168984
uniform4,1,0,1,32,repeat_next_single_head_ablation_loss_delta,0.0072378371842205524,0.06113472208380699,-0.0023437440395355225,0.007351721462327987,0.06958622476566022
uniform4,1,0,2,32,repeat_next_single_head_ablation_loss_delta,0.0076041449792683125,0.060452695935964584,-0.010156244039535522,0.06141229096101597,0.5812855538781737
uniform4,1,0,3,32,repeat_next_single_head_ablation_loss_delta,0.007568870671093464,0.06674082577228546,-0.004557281732559204,0.017563909583259374,0.16624761510447625
uniform4,1,1,0,32,repeat_next_single_head_ablation_loss_delta,0.007110868580639362,0.9699543714523315,-0.0014322847127914429,0.014961214561481029,0.2819810815308905
uniform4,1,1,1,32,repeat_next_single_head_ablation_loss_delta,0.009668235667049885,0.9404054880142212,-0.001171886920928955,0.00635960215004161,0.11986242727859056
uniform4,1,1,2,32,repeat_next_single_head_ablation_loss_delta,0.0075791687704622746,0.9638900756835938,-0.002083331346511841,0.025022655550856143,0.471613814908546
uniform4,1,1,3,32,repeat_next_single_head_ablation_loss_delta,0.009910203516483307,0.9492361545562744,-0.00039061903953552246,0.006714039540383965,0.12654267628197294
uniform4,2,0,0,32,repeat_next_single_head_ablation_loss_delta,0.01083134301006794,0.08672504127025604,-0.005729153752326965,0.023658519727177918,0.22026660473084983
uniform4,2,0,1,32,repeat_next_single_head_ablation_loss_delta,0.010495370253920555,0.08841319382190704,-0.003385379910469055,0.011147238896228373,0.10378352036012084
uniform4,2,0,2,32,repeat_next_single_head_ablation_loss_delta,0.011984842829406261,0.08886605501174927,-0.004036411643028259,0.01689589547459036,0.1573049190309286
uniform4,2,0,3,32,repeat_next_single_head_ablation_loss_delta,0.011421256698668003,0.09152661263942719,-0.011848941445350647,0.055706909974105656,0.5186449558781008
uniform4,2,1,0,32,repeat_next_single_head_ablation_loss_delta,0.011864038184285164,0.948415994644165,-0.0011718720197677612,0.008121873601339757,0.20181153708720548
uniform4,2,1,1,32,repeat_next_single_head_ablation_loss_delta,0.010575773194432259,0.9550527930259705,-0.0023437291383743286,0.014546221238560975,0.3614431116584107
uniform4,2,1,2,32,repeat_next_single_head_ablation_loss_delta,0.010407468304038048,0.9466094970703125,-0.0009114444255828857,0.008881368325091898,0.2206833892156058
uniform4,2,1,3,32,repeat_next_single_head_ablation_loss_delta,0.01226772740483284,0.9490119814872742,-0.0009114593267440796,0.008695379714481533,0.21606196203877803
uniform4,3,0,0,32,repeat_next_single_head_ablation_loss_delta,0.0067434171214699745,0.061115700751543045,-0.0042968690395355225,0.01836615602951497,0.2410493284978768
