config,seed,head_dims_json,eval_loss,eval_accuracy,top_layer,top_head,top_head_dim,role_metric,top_role_score,top_specialization,random_same_layer_role_score_mean,own_top_loss_delta,own_top_accuracy_delta,random_same_layer_loss_delta_mean,random_same_layer_accuracy_delta_mean
uniform4,1,"[32, 32, 32, 32]",0.005849973007570952,0.9992187917232513,0,2,32,ablation,0.06141229096101597,0.5812855538781737,0.016109150310512632,0.06141229096101597,-0.010156244039535522,0.016109150310512632,-0.0038411393761634827
uniform4,2,"[32, 32, 32, 32]",0.006269170786254108,0.9989583641290665,0,3,32,ablation,0.055706909974105656,0.5186449558781008,0.01558547728927806,0.055706909974105656,-0.011848941445350647,0.01558547728927806,-0.004003867506980896
uniform4,3,"[32, 32, 32, 32]",0.0035751109244301915,0.9994792193174362,1,1,32,ablation,0.041286473046056926,0.611682078763086,0.007740412635030225,0.041286473046056926,-0.004557296633720398,0.007740412635030225,-0.0005533900111913681
uniform4,4,"[32, 32, 32, 32]",0.0037062326446175575,0.9989583939313889,0,2,32,ablation,0.06348067987710238,0.5013684508021817,0.020966307492926717,0.06348067987710238,-0.011718764901161194,0.020966307492926717,-0.0052083395421504974
uniform4,5,"[32, 32, 32, 32]",0.002467427053488791,0.9997396171092987,0,1,32,ablation,0.07157567085232586,0.6849608016093405,0.010216983297141269,0.07157567085232586,-0.011848941445350647,0.010216983297141269,-0.002685530111193657
hetero4,1,"[16, 16, 32, 64]",0.005402353475801647,0.9993490278720856,1,3,64,ablation,1.2521975963609293,0.9971605505486284,0.0007276898249983788,1.2521975963609293,-0.2842448204755783,0.0007276898249983788,-0.0001302119344472885
hetero4,2,"[16, 16, 32, 64]",0.0066824949462898076,0.9985677301883698,0,3,64,ablation,0.7298442625324242,0.961218799462429,0.013826163500198163,0.7298442625324242,-0.12682288885116577,0.013826163500198163,-0.0022460613399744034
hetero4,3,"[16, 16, 32, 64]",0.005663452233420685,0.9989583790302277,0,3,64,ablation,0.7779025607451331,0.9755125008026992,0.011197340918442933,0.7779025607451331,-0.13463541865348816,0.011124372620543,-0.0027994774281978607
hetero4,4,"[16, 16, 32, 64]",0.005498412239830941,0.9992188215255737,1,3,64,ablation,0.9573482692358084,0.991333706420114,0.0031375324178952724,0.9573482692358084,-0.21705733239650726,0.0031375324178952724,-0.00016276352107524872
hetero4,5,"[16, 16, 32, 64]",0.004807811521459371,0.9992187917232513,0,3,64,ablation,1.3803768937359564,0.9896292507325919,0.004376975310151465,1.3803768937359564,-0.21015624701976776,0.004172325076069683,-0.0011067762970924377
uniform2,1,"[64, 64]",0.002676054136827588,0.9996094107627869,0,0,64,ablation,0.2151376425754279,0.5446315069867345,0.17987740854732692,0.2151376425754279,-0.03723958134651184,0.17987740854732692,-0.02903643250465393
uniform2,2,"[64, 64]",0.0058807123568840325,0.9992187917232513,1,0,64,ablation,0.2253177177044563,0.8007448275442755,0.05606745014665648,0.2253177177044563,-0.03229165077209473,0.05606745014665648,-0.007031247019767761
uniform2,3,"[64, 64]",0.005592130008153617,0.9992188066244125,0,0,64,ablation,0.3859146462054923,0.5949530812922591,0.26273254689294845,0.3859146462054923,-0.0657552182674408,0.26273254689294845,-0.04322916269302368
uniform2,4,"[64, 64]",0.005808725283714011,0.9988281577825546,0,1,64,ablation,0.40663300521555357,0.5311305341912343,0.35896599359693937,0.40663300521555357,-0.06106768548488617,0.35896599359693937,-0.0553385466337204
uniform2,5,"[64, 64]",0.0022442116460297257,0.9996094107627869,1,0,64,ablation,0.2614721656718757,0.8176494357005167,0.058313006622483954,0.2614721656718757,-0.04414060711860657,0.058313006622483954,-0.0031249821186065674
hetero4_64first,1,"[64, 16, 16, 32]",0.007675347733311355,0.9985677599906921,1,0,64,ablation,1.2784067710163072,0.9972155466332161,0.0008924008579924703,1.2784067710163072,-0.3014323115348816,0.0008692084957147017,-3.255903720855713e-05
hetero4_64first,2,"[64, 16, 16, 32]",0.005160877946764231,0.9990886002779007,0,0,64,ablation,0.7886831215582788,0.9484347266225931,0.015983524062903598,0.7886831215582788,-0.13593751192092896,0.015983524062903598,-0.0029134172946214676
hetero4_64first,3,"[64, 16, 16, 32]",0.005703847447875887,0.9992188066244125,1,0,64,ablation,1.7484718155465089,0.9976386517129915,0.0010483625519555062,1.7484718155465089,-0.4055989980697632,0.0010483625519555062,-3.2551586627960205e-05
hetero4_64first,4,"[64, 16, 16, 32]",0.0037623597017955035,0.9997396171092987,1,0,64,ablation,1.8493762063153554,0.9988599799698663,0.0006550602447532583,1.8493762063153554,-0.43671874701976776,0.0006550602447532583,-0.00014648213982582092
hetero4_64first,5,"[64, 16, 16, 32]",0.004098332807188854,0.9994792193174362,1,0,64,ablation,2.1533725491317455,0.9987655766687246,0.0016249834989139345,2.1533725491317455,-0.4938802346587181,0.0016048005090851802,-8.137896656990051e-05
