config,seed,head_dims_json,eval_loss,local_loss,induction_loss,local_accuracy,induction_accuracy,local_top_layer,local_top_head,local_top_head_dim,local_top_role_score,local_top_specialization,local_random_same_layer_role_score_mean,local_top_accuracy_delta,induction_top_layer,induction_top_head,induction_top_head_dim,induction_top_role_score,induction_top_specialization,induction_random_same_layer_role_score_mean,induction_top_accuracy_delta,same_top_slot,same_top_head_dim
uniform4,1,"[32, 32, 32, 32]",0.00046619986096629873,0.000182282630703412,0.0007501170912291855,1.0,1.0,0,0,32,0.04557829631085042,0.46524859289473464,0.023239536659275473,-0.003662109375,0,2,32,2.8347109033784363,0.47649741935858336,1.13720112098963,-0.36041662096977234,False,True
uniform4,2,"[32, 32, 32, 32]",0.0016149644798133522,0.00020717458028229885,0.003022754448466003,1.0,0.9993490278720856,0,1,32,0.05901748592805234,0.627548504886418,0.011213383791528031,-0.006103515625,0,0,32,1.2571017501177266,0.3527339102480776,0.7643853222252801,-0.18671876192092896,False,True
uniform4,3,"[32, 32, 32, 32]",0.00047696727415313944,0.00019650711328722537,0.0007574274350190535,1.0,1.0,0,2,32,0.022757165919756517,0.5407047149370733,0.009491243057254906,-0.002685546875,0,0,32,0.9083280102204299,0.702268127937226,0.16963861776457634,-0.16861975193023682,False,True
uniform4,4,"[32, 32, 32, 32]",0.0004616754813469015,0.00018766204084386118,0.0007356889254879206,1.0,1.0,1,2,32,0.018479768110410077,0.46365326528910566,0.0072752349042275455,-0.001708984375,0,1,32,1.7879682593338657,0.5861817800786259,0.48194155006785877,-0.2550780773162842,False,True
uniform4,5,"[32, 32, 32, 32]",0.000442848693637643,0.00014002365423948504,0.0007456737366737798,1.0,1.0,1,1,32,0.009950028495950392,0.36492118200801854,0.0053897713842161465,0.0,0,0,32,0.7111275446804939,0.8817687454093545,0.039824121155106695,-0.1330728828907013,False,True
hetero4,1,"[16, 16, 32, 64]",0.00047232840006472543,0.0001861401615315117,0.0007585166458738968,1.0,1.0,1,3,64,0.11725240901432699,0.9626769836519916,0.0013361768615141045,-0.01318359375,0,3,64,3.719407034062897,0.8858530515419614,0.1643850015971111,-0.3856770545244217,False,True
hetero4,2,"[16, 16, 32, 64]",0.00045609341032104567,0.00016956328545347787,0.0007426235388265923,1.0,1.0,1,3,64,0.19264648930038675,0.9380185309887104,0.0033212192902283277,-0.0361328125,1,3,64,1.1410492267896188,0.8980801094148515,0.046083729903330095,-0.2274739146232605,True,True
hetero4,3,"[16, 16, 32, 64]",0.00046587828546762466,0.00017792225116863847,0.0007538343197666109,1.0,1.0,1,3,64,0.1556771969771944,0.9645597110515368,0.002747109730989905,-0.01708984375,1,3,64,1.099033311533276,0.8896496175994383,0.041058127593714744,-0.22916662693023682,True,True
hetero4,4,"[16, 16, 32, 64]",0.007952871965244412,0.00021121456666151062,0.01569452928379178,1.0,0.9960938096046448,0,0,16,0.2027236019130214,0.7668715064425554,0.007840768363166717,-0.017822265625,0,0,16,5.841112106572837,0.7316110547600359,0.6319227102212608,-0.6819010749459267,True,True
hetero4,5,"[16, 16, 32, 64]",0.0004289283315301873,0.00015198982146102935,0.0007058668415993452,1.0,1.0,1,3,64,0.11386924811813515,0.7962959245273653,0.004784119522810215,-0.01123046875,0,3,64,1.5006770205218345,0.6889789452300142,0.2580207211431116,-0.2587238997220993,False,True
uniform2,1,"[64, 64]",0.0004759820949402638,0.00019014544523088261,0.0007618187519256026,1.0,1.0,1,1,64,0.10587311618292006,0.6099651980632357,0.06769927207642468,-0.018310546875,0,1,64,4.878014493122464,0.8983620685670209,0.5518836112169083,-0.4970051720738411,False,True
uniform2,2,"[64, 64]",0.00048761617654236034,0.00020917790243402123,0.0007660544360987842,1.0,1.0,1,1,64,0.12689065461745486,0.6037569318305717,0.08327778888633475,-0.0126953125,0,0,64,2.8631122552906163,0.6929030634459906,1.2689408504520543,-0.3177082985639572,False,True
uniform2,3,"[64, 64]",0.0004967046843376011,0.00021145953360246494,0.00078194985690061,1.0,1.0,1,1,64,0.14737497182068182,0.5941784597861829,0.10065652342018439,-0.01904296875,1,1,64,0.8504215662687784,0.5511772774238203,0.6924968396633631,-0.16731765866279602,True,True
uniform2,4,"[64, 64]",0.00047431030543521047,0.00020000836229883134,0.0007486122485715896,1.0,1.0,1,1,64,0.1887247661652509,0.6931917662525899,0.08353000567876734,-0.022216796875,0,1,64,1.2182762843731325,0.542769067744649,1.0262810361746233,-0.18111975491046906,False,True
uniform2,5,"[64, 64]",0.024580457247793674,0.00427063644019654,0.04489027801901102,0.999755859375,0.9878906756639481,1,0,64,0.13770618759008357,0.7292471296922484,0.051127174905559514,-0.013427734375,1,0,64,6.619250661693513,0.8344390708072309,1.313324517570436,-0.6886719167232513,True,True
hetero4_64first,1,"[64, 16, 16, 32]",0.0004792889303644188,0.00019091623107669875,0.0007676616369280964,1.0,1.0,1,0,64,0.08661799995024921,0.9138171293241889,0.003044560084163095,-0.00341796875,0,2,16,4.1969606146158185,0.8153023795647876,0.35668068574159406,-0.4296874850988388,False,False
hetero4_64first,2,"[64, 16, 16, 32]",0.015399146359413862,0.0038536419888259843,0.026944650802761316,0.99951171875,0.9932292103767395,1,0,64,0.21338571554224472,0.9017765372307056,0.009815606885240413,-0.03955078125,0,2,16,2.534227059688419,0.5485229986195936,1.0212523802183568,-0.35299481451511383,False,False
hetero4_64first,3,"[64, 16, 16, 32]",0.0004892056313110515,0.00020251982641639188,0.0007758914289297536,1.0,1.0,1,0,64,0.10590993984806119,0.9194796387378601,0.0032778336317278445,-0.005126953125,0,0,64,1.4997170985880075,0.6358801117159304,0.39702097738336306,-0.23815099895000458,False,True
hetero4_64first,4,"[64, 16, 16, 32]",0.0006576420710189268,0.00019882498236256652,0.001116459141485393,1.0,1.0,1,0,64,0.06876382445989293,0.8886456203967676,0.0022610152045672294,-0.00634765625,1,0,64,0.9710730417864397,0.8036998558257298,0.08668332925299183,-0.19505204260349274,True,True
hetero4_64first,5,"[64, 16, 16, 32]",0.00043446281779324636,0.0001499076643085573,0.0007190179749159142,1.0,1.0,1,0,64,0.2162646258911991,0.9695555516074501,0.002490607539584744,-0.029052734375,0,1,16,4.594219260223326,0.8065912976003505,0.3706802035012515,-0.48841142654418945,False,False
