config,head_dims_json,local_weight,induction_weight,n_models,local_accuracy_mean,induction_accuracy_mean,local_top_64_rate,induction_top_64_rate,same_top_slot_rate,same_top_dim_rate,local_top_specialization_mean,induction_top_specialization_mean,local_top_score_mean,induction_top_score_mean,local_top_dim_counts_json,induction_top_dim_counts_json,local_top_slot_counts_json,induction_top_slot_counts_json
hetero4,"[16, 16, 32, 64]",0.0,1.0,5,0.188330078125,0.9977344304323197,0.2,0.8,0.0,0.0,0.5208682538267855,0.8841051665248087,0.5569703578948975,1.2480349132325501,"{""16"": 3, ""32"": 1, ""64"": 1}","{""16"": 1, ""64"": 4}","{""L0H0:d16"": 2, ""L0H1:d16"": 1, ""L0H2:d32"": 1, ""L0H3:d64"": 1}","{""L0H0:d16"": 1, ""L1H3:d64"": 4}"
hetero4,"[16, 16, 32, 64]",0.01,1.0,5,0.997705078125,0.9983854651451111,1.0,1.0,0.4,1.0,0.8401729091049616,0.9029895147117992,0.68238994339481,1.293307120294776,"{""64"": 5}","{""64"": 5}","{""L0H3:d64"": 1, ""L1H3:d64"": 4}","{""L0H3:d64"": 4, ""L1H3:d64"": 1}"
hetero4,"[16, 16, 32, 64]",0.1,1.0,5,0.99990234375,0.9984375447034836,1.0,0.6,0.4,0.6,0.7643051498798098,0.6774695318130536,0.23348217260208912,3.615163545618998,"{""64"": 5}","{""16"": 1, ""32"": 1, ""64"": 3}","{""L0H3:d64"": 4, ""L1H3:d64"": 1}","{""L0H0:d16"": 1, ""L0H2:d32"": 1, ""L0H3:d64"": 2, ""L1H3:d64"": 1}"
hetero4,"[16, 16, 32, 64]",0.25,1.0,5,0.999951171875,0.9984114944934845,0.6,0.2,0.6,0.6,0.8475774558160134,0.5492509563836654,0.277977314653981,5.281997088996286,"{""16"": 1, ""32"": 1, ""64"": 3}","{""16"": 3, ""32"": 1, ""64"": 1}","{""L0H0:d16"": 1, ""L0H2:d32"": 1, ""L0H3:d64"": 1, ""L1H3:d64"": 2}","{""L0H0:d16"": 3, ""L0H2:d32"": 1, ""L0H3:d64"": 1}"
hetero4,"[16, 16, 32, 64]",1.0,1.0,5,1.0,0.999218761920929,0.8,0.8,0.6,1.0,0.885684531332432,0.8188345557092601,0.15643378906461294,2.6602557398960927,"{""16"": 1, ""64"": 4}","{""16"": 1, ""64"": 4}","{""L0H0:d16"": 1, ""L1H3:d64"": 4}","{""L0H0:d16"": 1, ""L0H3:d64"": 2, ""L1H3:d64"": 2}"
hetero4_64first,"[64, 16, 16, 32]",0.0,1.0,5,0.199560546875,0.9984375447034836,0.4,1.0,0.4,0.4,0.6322047995287183,0.9570060632118258,0.9069557189941406,1.9586211842659396,"{""16"": 1, ""32"": 2, ""64"": 2}","{""64"": 5}","{""L0H0:d64"": 1, ""L0H1:d16"": 1, ""L0H3:d32"": 2, ""L1H0:d64"": 1}","{""L0H0:d64"": 2, ""L1H0:d64"": 3}"
hetero4_64first,"[64, 16, 16, 32]",0.01,1.0,5,0.99521484375,0.9975521385669708,0.6,1.0,0.6,0.6,0.776614246814116,0.9253863226787299,0.7055126816499978,2.1884084568475375,"{""32"": 2, ""64"": 3}","{""64"": 5}","{""L0H0:d64"": 1, ""L0H3:d32"": 2, ""L1H0:d64"": 2}","{""L0H0:d64"": 3, ""L1H0:d64"": 2}"
hetero4_64first,"[64, 16, 16, 32]",0.1,1.0,5,0.999853515625,0.9991666972637177,0.8,0.6,0.4,0.8,0.6229514492867,0.7321003867397773,0.3085291808034526,4.189376172897755,"{""16"": 1, ""64"": 4}","{""16"": 2, ""64"": 3}","{""L0H0:d64"": 3, ""L0H2:d16"": 1, ""L1H0:d64"": 1}","{""L0H0:d64"": 2, ""L0H1:d16"": 1, ""L0H2:d16"": 1, ""L1H0:d64"": 1}"
hetero4_64first,"[64, 16, 16, 32]",0.25,1.0,5,0.999951171875,0.9986979514360428,0.6,0.2,0.4,0.6,0.8075560494178955,0.5492017881755613,0.23386846366774988,5.917916910123313,"{""16"": 2, ""64"": 3}","{""16"": 3, ""32"": 1, ""64"": 1}","{""L0H1:d16"": 1, ""L0H2:d16"": 1, ""L1H0:d64"": 3}","{""L0H0:d64"": 1, ""L0H1:d16"": 1, ""L0H2:d16"": 2, ""L0H3:d32"": 1}"
hetero4_64first,"[64, 16, 16, 32]",1.0,1.0,5,0.99990234375,0.9986458420753479,1.0,0.4,0.2,0.4,0.9186548954593945,0.7219993286652784,0.13818842113832944,2.759239414980402,"{""64"": 5}","{""16"": 3, ""64"": 2}","{""L1H0:d64"": 5}","{""L0H0:d64"": 1, ""L0H1:d16"": 1, ""L0H2:d16"": 2, ""L1H0:d64"": 1}"
hetero4_64second,"[16, 64, 16, 32]",0.0,1.0,5,0.226416015625,0.9980729579925537,0.2,1.0,0.2,0.2,0.60143895206621,0.9615630502463366,0.6062065124511719,1.8839147464605048,"{""16"": 3, ""32"": 1, ""64"": 1}","{""64"": 5}","{""L0H0:d16"": 2, ""L0H1:d64"": 1, ""L0H2:d16"": 1, ""L0H3:d32"": 1}","{""L0H1:d64"": 2, ""L1H1:d64"": 3}"
hetero4_64second,"[16, 64, 16, 32]",0.01,1.0,5,0.9962890625,0.9976042121648788,1.0,1.0,0.6,1.0,0.8762918474570631,0.9689473568264839,0.5300721722189337,1.479904386063572,"{""64"": 5}","{""64"": 5}","{""L1H1:d64"": 5}","{""L0H1:d64"": 2, ""L1H1:d64"": 3}"
hetero4_64second,"[16, 64, 16, 32]",0.1,1.0,5,0.999755859375,0.9976302593946457,0.8,0.4,0.6,0.6,0.7934667534580535,0.7124403782810348,0.5370365800568834,5.005095535470173,"{""16"": 1, ""64"": 4}","{""16"": 3, ""64"": 2}","{""L0H1:d64"": 3, ""L0H2:d16"": 1, ""L1H1:d64"": 1}","{""L0H0:d16"": 2, ""L0H1:d64"": 2, ""L0H2:d16"": 1}"
hetero4_64second,"[16, 64, 16, 32]",0.25,1.0,5,0.99990234375,0.9980469137430191,0.8,0.4,0.2,0.6,0.9131693532292117,0.6135063176560775,0.2128471228737908,5.2140253531499186,"{""16"": 1, ""64"": 4}","{""16"": 1, ""32"": 2, ""64"": 2}","{""L0H2:d16"": 1, ""L1H1:d64"": 4}","{""L0H1:d64"": 2, ""L0H2:d16"": 1, ""L0H3:d32"": 2}"
hetero4_64second,"[16, 64, 16, 32]",1.0,1.0,5,1.0,1.0,1.0,0.2,0.2,0.2,0.9241513756189447,0.7245330405211072,0.14184655340723112,3.2447139481519116,"{""64"": 5}","{""16"": 4, ""64"": 1}","{""L1H1:d64"": 5}","{""L0H0:d16"": 1, ""L0H2:d16"": 3, ""L1H1:d64"": 1}"
hetero4_64third,"[16, 32, 64, 16]",0.0,1.0,5,0.188232421875,0.9974219232797623,0.2,1.0,0.0,0.2,0.661028881778047,0.9682329028420117,0.9941563129425048,1.7312261520477477,"{""16"": 1, ""32"": 3, ""64"": 1}","{""64"": 5}","{""L0H0:d16"": 1, ""L0H1:d32"": 3, ""L0H2:d64"": 1}","{""L0H2:d64"": 2, ""L1H2:d64"": 3}"
