config,head_dims_json,local_weight,induction_weight,seed,local_accuracy,induction_accuracy,local_top_slot,local_top_dim,local_top_score,local_top_specialization,induction_top_slot,induction_top_dim,induction_top_score,induction_top_specialization,local_top_is_64,induction_top_is_64,same_top_slot,same_top_dim
hetero4_64first,"[64, 16, 16, 32]",0.0,1.0,1,0.19091796875,0.9975260943174362,L0H3:d32,32,0.7304795980453491,0.5737318613461229,L0H0:d64,64,3.7228385587222874,0.9791325577110986,False,True,False,False
hetero4_64first,"[64, 16, 16, 32]",0.0,1.0,2,0.171142578125,0.9989583790302277,L0H3:d32,32,0.27392637729644775,0.4231693916212917,L1H0:d64,64,1.274491599178873,0.9844180315090489,False,True,False,False
hetero4_64first,"[64, 16, 16, 32]",0.0,1.0,3,0.168212890625,0.9986979812383652,L0H0:d64,64,0.9684064388275146,0.4712020906115345,L0H0:d64,64,2.055554495193064,0.8418881399334789,True,True,True,True
hetero4_64first,"[64, 16, 16, 32]",0.0,1.0,4,0.1953125,0.9989583641290665,L1H0:d64,64,0.9860661029815674,0.9857407193122177,L1H0:d64,64,1.326217758556595,0.9920663327667086,True,True,True,True
hetero4_64first,"[64, 16, 16, 32]",0.0,1.0,5,0.272216796875,0.9980469048023224,L0H1:d16,16,1.5759000778198242,0.7071799347524248,L1H0:d64,64,1.414003509678878,0.9875252541387934,False,True,False,False
hetero4_64third,"[16, 32, 64, 16]",0.0,1.0,1,0.15283203125,0.9977865219116211,L0H1:d32,32,0.07005691528320312,0.7140322996097413,L0H2:d64,64,1.117233496333938,0.9219186709681081,False,True,False,False
hetero4_64third,"[16, 32, 64, 16]",0.0,1.0,2,0.259521484375,0.9988281726837158,L0H1:d32,32,0.5681045055389404,0.40509795791138165,L0H2:d64,64,2.8057562947215047,0.9673005944950801,False,True,False,False
hetero4_64third,"[16, 32, 64, 16]",0.0,1.0,3,0.134521484375,0.9963542222976685,L0H1:d32,32,2.329618811607361,1.0,L1H2:d64,64,2.392720386153087,0.995569936438874,False,True,False,False
hetero4_64third,"[16, 32, 64, 16]",0.0,1.0,4,0.2509765625,0.9972656667232513,L0H0:d16,16,1.158357858657837,0.5987769237514418,L1H2:d64,64,1.1536270454525948,0.9744177694154369,False,True,False,False
hetero4_64third,"[16, 32, 64, 16]",0.0,1.0,5,0.143310546875,0.9968750327825546,L0H2:d64,64,0.8446434736251831,0.5872372276176705,L1H2:d64,64,1.1867935375776142,0.9819575428925591,True,True,False,True
hetero4,"[16, 16, 32, 64]",0.0,1.0,1,0.174072265625,0.998828187584877,L0H2:d32,32,0.9518557786941528,0.5194413559953611,L1H3:d64,64,1.0567119342740625,0.9752578475361557,False,True,False,False
hetero4,"[16, 16, 32, 64]",0.0,1.0,2,0.303466796875,0.9993490129709244,L0H0:d16,16,0.41036033630371094,0.44033664784319787,L1H3:d64,64,1.2007396880653687,0.9687637131712378,False,True,False,False
hetero4,"[16, 16, 32, 64]",0.0,1.0,3,0.15966796875,0.9958333969116211,L0H1:d16,16,0.40421831607818604,0.4737343592367281,L1H3:d64,64,1.3303690487518907,0.9729908469853396,False,True,False,False
hetero4,"[16, 16, 32, 64]",0.0,1.0,4,0.161376953125,0.9971354603767395,L0H3:d64,64,0.9247030019760132,0.4876371850109437,L0H0:d16,16,1.113073454122059,0.5161943261672781,True,False,False,False
hetero4,"[16, 16, 32, 64]",0.0,1.0,5,0.14306640625,0.9975260943174362,L0H0:d16,16,0.09371435642242432,0.6831917210476963,L1H3:d64,64,1.5392804409493692,0.9873190987640328,False,True,False,False
hetero4_64first,"[64, 16, 16, 32]",0.01,1.0,1,0.99609375,0.9983073323965073,L0H3:d32,32,0.7660486474633217,0.8644762316866439,L0H0:d64,64,3.6426585738081485,0.9680773927724774,False,True,False,False
hetero4_64first,"[64, 16, 16, 32]",0.01,1.0,2,0.99609375,0.9958333969116211,L1H0:d64,64,0.8300713552162051,0.9472281941900419,L1H0:d64,64,2.0463389169890434,0.9921561728827817,True,True,True,True
hetero4_64first,"[64, 16, 16, 32]",0.01,1.0,3,0.997314453125,0.9951823502779007,L0H3:d32,32,0.1801484834868461,0.578757465103012,L0H0:d64,64,2.164647883037105,0.9451538324242775,False,True,False,False
hetero4_64first,"[64, 16, 16, 32]",0.01,1.0,4,0.990966796875,0.9993490129709244,L0H0:d64,64,1.260398618876934,0.5901124188983382,L0H0:d64,64,1.1789057966670953,0.7286246006390397,True,True,True,True
hetero4_64first,"[64, 16, 16, 32]",0.01,1.0,5,0.99560546875,0.9990886002779007,L1H0:d64,64,0.4908963032066822,0.902496924192544,L1H0:d64,64,1.9094911137362942,0.9929196146750732,True,True,True,True
