config,seed,branch_head_dims_json,eval_loss,local_loss,induction_loss,local_accuracy,induction_accuracy,local_branch0_loss_delta,local_branch1_loss_delta,induction_branch0_loss_delta,induction_branch1_loss_delta,local_branch0_specialization,local_branch1_specialization,induction_branch0_specialization,induction_branch1_specialization,local_top_branch,induction_top_branch,same_top_branch,routed_role_match,branch_distribution_distance
branch_sum,1,[64],0.0003309464955236763,0.00016737240366637707,0.0003718400184880011,1.0,1.0,0.1840968814212829,0.2126801770646125,0.8031823670680751,0.9285106247480144,0.4639806598793744,0.5360193401206256,0.4638133727305488,0.5361866272694512,1,1,True,False,0.00016728714882563445
branch_sum,2,[64],0.0003370522172190249,0.0001636324086575769,0.0003804071602644399,1.0,1.0,0.113842233120522,0.14443400226446101,0.7746983663382707,0.644881148749846,0.4407770345220896,0.5592229654779104,0.5457238274463149,0.4542761725536852,1,0,False,False,0.10494679292422524
branch_sum,3,[64],0.0004354481789050624,0.00015051545051392168,0.0005066813537268899,1.0,1.0,0.1426521067187423,0.06594897458853666,1.0808623014381737,0.494145202486834,0.6838512332954267,0.3161487667045733,0.6862585090830385,0.3137414909169615,0,0,True,False,0.0024072757876117956
branch_sum,4,[64],0.0022800626029493287,0.0002585436523077078,0.0027854421932715923,1.0,0.9997396022081375,0.23365754156111507,0.19728712259529857,1.0208892097871285,0.8099560907285195,0.5421984792838921,0.4578015207161079,0.557605391072419,0.4423946089275809,0,0,True,False,0.015406911788526961
branch_sum,5,[64],0.002717703173402697,0.00018052536324830726,0.003351997642312199,1.0,0.9993490129709244,0.2558759249441209,0.2154280937902513,1.089398313255515,1.276332545967307,0.5429105519431886,0.4570894480568114,0.4604912300181935,0.5395087699818065,0,1,False,True,0.08241932192499513
oracle_route,1,[64],0.0027144709310960025,0.0016619142952549737,0.0029776099254377186,0.999267578125,0.9997396171092987,6.180326324993075,0.0,0.0,6.295298337645363,1.0,0.0,0.0,1.0,0,1,False,True,1.0
oracle_route,2,[64],0.004125054780161008,0.0001658258515817579,0.005114861996844411,1.0,0.9992188066244125,5.918406242362835,0.0,0.0,6.154277256457135,1.0,0.0,0.0,1.0,0,1,False,True,1.0
oracle_route,3,[64],0.004256175074260682,0.00026625284226611257,0.005253655603155494,1.0,0.998697966337204,5.9619873177143745,0.0,0.0,6.1489259174559265,1.0,0.0,0.0,1.0,0,1,False,True,1.0
oracle_route,4,[64],0.004254600848071277,0.0005900749310967512,0.005170732096303254,1.0,0.9986979812383652,6.064764033879328,0.0,0.0,6.166368693753611,1.0,0.0,0.0,1.0,0,1,False,True,1.0
oracle_route,5,[64],0.008956857374869287,0.00019182632968295366,0.01114811492152512,1.0,0.9971354603767395,5.9266385846276535,0.0,0.0,6.135411004303023,1.0,0.0,0.0,1.0,0,1,False,True,1.0
