model_size,seed,revision,revision_index,condition,control_id,heads_json,baseline_loss,ablated_loss,loss_delta,baseline_target_logit,ablated_target_logit,target_logit_delta
14m,1,step0,0,own_top,,"[[0, 1], [1, 0]]",11.024901509284973,11.027790665626526,0.0028891563415527344,0.0010359594889450818,-0.0014508318854495883,-0.00248679137439467
14m,1,step0,0,own_random,0,"[[0, 3], [1, 2]]",11.024901509284973,11.02043080329895,-0.004470705986022949,0.0010359594889450818,0.00546555028995499,0.004429590801009908
14m,1,step0,0,own_random,1,"[[0, 2], [1, 1]]",11.024901509284973,11.024197340011597,-0.0007041692733764648,0.0010359594889450818,0.001969404285773635,0.0009334447968285531
14m,1,step0,0,own_random,2,"[[0, 0], [1, 1]]",11.024901509284973,11.02125608921051,-0.0036454200744628906,0.0010359594889450818,0.004805695731192827,0.0037697362422477454
14m,1,step0,0,own_random,3,"[[0, 0], [1, 1]]",11.024901509284973,11.02125608921051,-0.0036454200744628906,0.0010359594889450818,0.004805695731192827,0.0037697362422477454
14m,1,step0,0,own_random,4,"[[0, 0], [1, 3]]",11.024901509284973,11.025997638702393,0.0010961294174194336,0.0010359594889450818,0.0001420951448380947,-0.0008938643441069871
14m,1,step0,0,own_random,5,"[[0, 2], [1, 3]]",11.024901509284973,11.028205394744873,0.0033038854598999023,0.0010359594889450818,-0.0019485364900901914,-0.002984495979035273
14m,1,step0,0,own_random,6,"[[0, 2], [1, 2]]",11.024901509284973,11.0219087600708,-0.0029927492141723633,0.0010359594889450818,0.004010366275906563,0.002974406786961481
14m,1,step0,0,own_random,7,"[[0, 3], [1, 3]]",11.024901509284973,11.028924942016602,0.004023432731628418,0.0010359594889450818,-0.002702004225284327,-0.0037379637142294087
14m,1,step64,1,own_top,,"[[0, 1], [1, 0]]",11.019672274589539,11.020734906196594,0.001062631607055664,-0.08302319003269076,-0.08358342037536204,-0.0005602303426712751
14m,1,step64,1,own_random,0,"[[0, 2], [1, 2]]",11.019672274589539,11.017651915550232,-0.0020203590393066406,-0.08302319003269076,-0.07988149160519242,0.0031416984274983406
14m,1,step64,1,own_random,1,"[[0, 2], [1, 3]]",11.019672274589539,11.021573424339294,0.0019011497497558594,-0.08302319003269076,-0.0841929130256176,-0.001169722992926836
14m,1,step64,1,own_random,2,"[[0, 0], [1, 3]]",11.019672274589539,11.020891308784485,0.001219034194946289,-0.08302319003269076,-0.08354940358549356,-0.0005262135528028011
14m,1,step64,1,own_random,3,"[[0, 3], [1, 1]]",11.019672274589539,11.019111275672913,-0.0005609989166259766,-0.08302319003269076,-0.08230656280647963,0.0007166272262111306
14m,1,step64,1,own_random,4,"[[0, 2], [1, 3]]",11.019672274589539,11.021573424339294,0.0019011497497558594,-0.08302319003269076,-0.0841929130256176,-0.001169722992926836
14m,1,step64,1,own_random,5,"[[0, 2], [1, 1]]",11.019672274589539,11.01905906200409,-0.0006132125854492188,-0.08302319003269076,-0.08214816101826727,0.0008750290144234896
14m,1,step64,1,own_random,6,"[[0, 3], [1, 3]]",11.019672274589539,11.021775960922241,0.0021036863327026367,-0.08302319003269076,-0.08450051839463413,-0.0014773283619433641
14m,1,step64,1,own_random,7,"[[0, 3], [1, 1]]",11.019672274589539,11.019111275672913,-0.0005609989166259766,-0.08302319003269076,-0.08230656280647963,0.0007166272262111306
14m,1,step256,2,own_top,,"[[0, 1], [1, 0]]",11.685064673423767,11.689890384674072,0.004825711250305176,-1.9862290024757385,-1.992978274822235,-0.006749272346496582
14m,1,step256,2,own_random,0,"[[0, 0], [1, 3]]",11.685064673423767,11.688809633255005,0.003744959831237793,-1.9862290024757385,-1.9905054420232773,-0.004276439547538757
14m,1,step256,2,own_random,1,"[[0, 0], [1, 2]]",11.685064673423767,11.685343503952026,0.00027883052825927734,-1.9862290024757385,-1.9851382821798325,0.001090720295906067
14m,1,step256,2,own_random,2,"[[0, 0], [1, 1]]",11.685064673423767,11.695197582244873,0.010132908821105957,-1.9862290024757385,-1.995817318558693,-0.009588316082954407
14m,1,step256,2,own_random,3,"[[0, 2], [1, 2]]",11.685064673423767,11.6837660074234,-0.001298666000366211,-1.9862290024757385,-1.9832065403461456,0.0030224621295928955
14m,1,step256,2,own_random,4,"[[0, 2], [1, 1]]",11.685064673423767,11.694299340248108,0.00923466682434082,-1.9862290024757385,-1.9946809262037277,-0.008451923727989197
14m,1,step256,2,own_random,5,"[[0, 0], [1, 1]]",11.685064673423767,11.695197582244873,0.010132908821105957,-1.9862290024757385,-1.995817318558693,-0.009588316082954407
14m,1,step256,2,own_random,6,"[[0, 0], [1, 3]]",11.685064673423767,11.688809633255005,0.003744959831237793,-1.9862290024757385,-1.9905054420232773,-0.004276439547538757
14m,1,step256,2,own_random,7,"[[0, 2], [1, 2]]",11.685064673423767,11.6837660074234,-0.001298666000366211,-1.9862290024757385,-1.9832065403461456,0.0030224621295928955
