model_size,target_seed,revision,revision_index,condition,source_seed,control_id,heads_json,baseline_loss,ablated_loss,loss_delta,baseline_target_logit,ablated_target_logit,target_logit_delta
160m,1,step0,0,own_top,,,"[[0, 8], [1, 8]]",11.029037356376648,11.028668403625488,-0.00036895275115966797,-0.003595718910219148,-0.0032101114047691226,0.0003856075054500252
160m,1,step0,0,own_random,,0,"[[0, 5], [1, 11]]",11.029037356376648,11.02672004699707,-0.0023173093795776367,-0.003595718910219148,-0.0012294435687181249,0.002366275341501023
160m,1,step0,0,own_random,,1,"[[0, 10], [1, 10]]",11.029037356376648,11.028321146965027,-0.0007162094116210938,-0.003595718910219148,-0.0031693807686679065,0.0004263381415512413
160m,1,step0,0,own_random,,2,"[[0, 7], [1, 2]]",11.029037356376648,11.032758951187134,0.00372159481048584,-0.003595718910219148,-0.007278424833202735,-0.003682705922983587
160m,1,step0,0,own_random,,3,"[[0, 3], [1, 2]]",11.029037356376648,11.030571222305298,0.0015338659286499023,-0.003595718910219148,-0.005093694526294712,-0.0014979756160755642
160m,1,step0,0,source_same_index,2,,"[[0, 11], [1, 9]]",11.029037356376648,11.031056642532349,0.0020192861557006836,-0.003595718910219148,-0.005343685392290354,-0.001747966482071206
160m,1,step0,0,source_aligned,2,,"[[0, 11], [1, 4]]",11.029037356376648,11.029791712760925,0.0007543563842773438,-0.003595718910219148,-0.004589555726852268,-0.0009938368166331202
160m,1,step0,0,source_same_index,3,,"[[0, 6], [1, 0]]",11.029037356376648,11.030118346214294,0.0010809898376464844,-0.003595718910219148,-0.004423088277690113,-0.0008273693674709648
160m,1,step0,0,source_aligned,3,,"[[0, 3], [1, 7]]",11.029037356376648,11.029539346694946,0.0005019903182983398,-0.003595718910219148,-0.00429237971547991,-0.0006966608052607626
160m,2,step0,0,own_top,,,"[[0, 11], [1, 9]]",10.997868299484253,10.998605370521545,0.0007370710372924805,0.02825784415472299,0.027550746104680002,-0.0007070980500429869
160m,2,step0,0,own_random,,0,"[[0, 8], [1, 6]]",10.997868299484253,10.99505364894867,-0.002814650535583496,0.02825784415472299,0.030318300414364785,0.0020604562596417964
160m,2,step0,0,own_random,,1,"[[0, 5], [1, 8]]",10.997868299484253,10.998093366622925,0.000225067138671875,0.02825784415472299,0.028018951299600303,-0.00023889285512268543
160m,2,step0,0,own_random,,2,"[[0, 0], [1, 3]]",10.997868299484253,10.997389435768127,-0.0004788637161254883,0.02825784415472299,0.02856143517419696,0.00030359101947396994
160m,2,step0,0,own_random,,3,"[[0, 8], [1, 11]]",10.997868299484253,10.99541163444519,-0.0024566650390625,0.02825784415472299,0.030577466124668717,0.0023196219699457288
