model_size,seed,revision,revision_index,selected_heads_json,selected_specialization_mean,selected_specialization_max,baseline_loss,own_top_loss_delta,random_loss_delta_mean,own_top_excess_over_random,source_same_index_loss_delta_mean,source_aligned_loss_delta_mean,aligned_minus_same_index_loss_delta_mean
160m,1,step0,0,"[[0, 8], [1, 8]]",0.08549965453884921,0.08600462073065403,11.029037356376648,-0.00036895275115966797,0.0005554854869842529,-0.0009244382381439209,0.001550137996673584,0.0006281733512878418,-0.0009219646453857422
160m,2,step0,0,"[[0, 11], [1, 9]]",0.08562520063345816,0.08601051200105182,10.997868299484253,0.0007370710372924805,-0.0013812780380249023,0.002118349075317383,-0.000593721866607666,-0.00034308433532714844,0.0002506375312805176
160m,3,step0,0,"[[0, 6], [1, 0]]",0.08660828188947305,0.08670434011147272,11.021180868148804,0.0015850067138671875,-0.00037172436714172363,0.001956731081008911,-0.0010877251625061035,0.0012102723121643066,0.00229799747467041
160m,1,step1000,1,"[[0, 8], [1, 3]]",0.09947872280101333,0.11036293483160928,4.085437178611755,-0.03411281108856201,-0.039352938532829285,0.005240127444267273,-0.02619609236717224,-0.04518359899520874,-0.0189875066280365
160m,2,step1000,1,"[[0, 7], [1, 2]]",0.09794092934705156,0.10873168943362749,4.056998908519745,-0.03306859731674194,-0.02520482987165451,-0.007863767445087433,-0.030894622206687927,-0.027083128690719604,0.0038114935159683228
160m,3,step1000,1,"[[0, 5], [1, 2]]",0.1010076522993436,0.11478322305566263,4.15801003575325,-0.026427000761032104,-0.041780270636081696,0.015353269875049591,-0.03414037823677063,-0.03897161781787872,-0.004831239581108093
160m,1,step4000,2,"[[0, 7], [1, 3]]",0.4739517838139954,0.7952956778347733,1.4926652759313583,-0.0063116103410720825,-0.013465605676174164,0.007153995335102081,-0.020511403679847717,-0.00835186243057251,0.012159541249275208
160m,2,step4000,2,"[[0, 1], [1, 1]]",0.5142213785838141,0.8786148214871362,1.7717594504356384,-0.05045892298221588,-0.002312827855348587,-0.048146095126867294,0.020056158304214478,-0.016790933907032013,-0.03684709221124649
160m,3,step4000,2,"[[0, 1], [1, 2]]",0.45014657972039795,0.7698339381883993,1.8655657917261124,0.04673674702644348,0.05965964123606682,-0.012922894209623337,0.045099735260009766,0.03545154631137848,-0.009648188948631287
160m,1,step16000,3,"[[0, 7], [1, 3]]",0.7219298222363125,0.8416166864823813,0.8997866958379745,0.2806939482688904,-0.009568646550178528,0.2902625948190689,-0.007928412407636642,0.18455682322382927,0.1924852356314659
160m,2,step16000,3,"[[0, 1], [1, 1]]",0.5748203842601091,0.8605328023943561,1.2127672284841537,0.3512440323829651,0.08057457581162453,0.27066945657134056,0.18886416405439377,0.4812909811735153,0.29242681711912155
160m,3,step16000,3,"[[0, 1], [1, 2]]",0.47812485294115564,0.48493339626994725,0.9869194999337196,0.20119237154722214,0.06493919529020786,0.13625317625701427,0.10454249009490013,0.20119237154722214,0.096649881452322
160m,1,step64000,4,"[[0, 7], [1, 3]]",0.7935419346050667,0.8192060979025075,1.056203931570053,0.25954167544841766,1.0592562798410654,-0.7997146043926477,0.013422530144453049,0.9778295457363129,0.9644070155918598
160m,2,step64000,4,"[[0, 1], [1, 1]]",0.5400524274394967,0.8335259186320438,1.2433249056339264,1.0259200632572174,0.09916050918400288,0.9267595540732145,0.4146681874990463,0.9798357337713242,0.5651675462722778
160m,3,step64000,4,"[[0, 1], [1, 2]]",0.6998840776971377,0.8426906071517435,1.2536546140909195,0.5177494883537292,0.5828672312200069,-0.0651177428662777,0.4822436384856701,0.4594428017735481,-0.022800836712121964
160m,1,step143000,5,"[[0, 7], [1, 3]]",0.7842136048777728,0.7907778116024724,2.3463813811540604,0.9949600547552109,0.2303292565047741,0.7646307982504368,0.0076585859060287476,1.1301348954439163,1.1224763095378876
160m,2,step143000,5,"[[0, 1], [1, 1]]",0.5291533230797495,0.7912817611985391,1.487368956208229,2.1021535843610764,-0.03015942871570587,2.1323130130767822,0.3841555565595627,1.5228752344846725,1.1387196779251099
160m,3,step143000,5,"[[0, 1], [1, 2]]",0.701264339921474,0.8400571686634047,2.249111905694008,1.1607462018728256,0.3077997602522373,0.8529464416205883,0.5218632221221924,0.8791211619973183,0.3572579398751259
