revision,revision_index,condition,n,loss_delta_mean,loss_delta_std,target_logit_delta_mean,target_logit_delta_std,source_dir,selected_revision_index
step4000,0,own_random,36,-0.009603909734222624,0.04582690927655774,-0.014347013500001695,0.10318875713780518,results/phase1_pythia160m_repeat_match_alignment_seed9_step4000,0
step4000,0,own_top,9,0.15628128581576878,0.19674366860080306,-0.05809521675109863,0.45988923463403497,results/phase1_pythia160m_repeat_match_alignment_seed9_step4000,1
step4000,0,source_aligned,72,0.16822124645113945,0.19691242510876308,-0.09075480202833812,0.4606069625010309,results/phase1_pythia160m_repeat_match_alignment_seed9_step4000,2
step4000,0,source_same_index,72,-0.004881128875745667,0.08429674054597218,0.0025977144638697305,0.15673910883257403,results/phase1_pythia160m_repeat_match_alignment_seed9_step4000,3
step16000,0,own_random,36,0.06250884446005027,0.10299179164076565,-0.16365618838204277,0.26755298834167696,results/phase1_pythia160m_repeat_match_alignment_seed9_step16000,4
step16000,0,own_top,9,0.4274965284599198,0.28497792686539647,-0.7594572835498385,0.8051435535271625,results/phase1_pythia160m_repeat_match_alignment_seed9_step16000,5
step16000,0,source_aligned,72,0.3958332565509611,0.2962280729699644,-0.6650663995080524,0.8431643474532268,results/phase1_pythia160m_repeat_match_alignment_seed9_step16000,6
step16000,0,source_same_index,72,0.07851033399088515,0.17031461290574962,-0.1700728784004847,0.42458787944375015,results/phase1_pythia160m_repeat_match_alignment_seed9_step16000,7
step143000,0,own_random,36,0.230957736985551,0.4156426496090614,-0.6086112260818481,0.9329213954503783,results/phase1_pythia160m_repeat_match_alignment_seed9_step143000,8
step143000,0,own_top,9,1.4895392838451598,0.48800820580294424,-2.034706221686469,0.8845667702793835,results/phase1_pythia160m_repeat_match_alignment_seed9_step143000,9
step143000,0,source_aligned,72,1.0619041240877576,0.7012051023311174,-1.575264851252238,1.0463434642757945,results/phase1_pythia160m_repeat_match_alignment_seed9_step143000,10
step143000,0,source_same_index,72,0.254056963034802,0.3759942476441102,-0.6964176694552103,1.3360895977745322,results/phase1_pythia160m_repeat_match_alignment_seed9_step143000,11
