config,family,role,n,top_dim_counts,top_dim_mode,top_dim_mode_count,accuracy_mean,specialization_mean,effective_heads_mean
uniform4,copy_transport,local_copy,5,32:5,32,5,1.0,0.30394056523650004,3.9342286574221745
uniform4,copy_transport,previous_token,5,32:5,32,5,1.0,0.7101200541021954,2.3246851448214345
uniform4,copy_transport,kv_lookup,5,32:5,32,5,0.998046875,0.5324977134853892,4.707709882961172
uniform4,copy_transport,duplicate_token,5,32:5,32,5,1.0,0.6830577947100964,3.069681980265802
uniform4,induction,induction_short,5,32:5,32,5,1.0,0.8564666155975218,1.6174703165888544
uniform4,induction,induction_long,5,32:5,32,5,0.9996093899011612,0.780298043398699,1.9630280515814094
uniform4,induction,induction_ngram,5,32:5,32,5,0.999951171875,0.8287487955923657,1.7347713794108426
uniform4,induction,false_induction_control,5,32:5,32,5,1.0,0.8528306318498082,1.683473721262629
uniform4,position_boundary,bos_sink,5,32:5,32,5,1.0,0.8727135865895546,1.64523656432082
uniform4,position_boundary,sep_sink,5,32:5,32,5,1.0,0.9092205443919141,1.5175409426709854
uniform4,position_boundary,fixed_offset_prev,5,32:5,32,5,1.0,0.912379759451315,1.4712980562205122
uniform4,position_boundary,punctuation_boundary,5,32:5,32,5,1.0,0.8545815713487013,1.519627024075564
uniform4,suppression_conflict,distractor_suppression,5,32:5,32,5,1.0,0.896052372686807,1.4530733033454566
uniform4,suppression_conflict,anti_copy,5,32:5,32,5,1.0,0.8584154286565269,1.8703382768360057
uniform4,suppression_conflict,wrong_key_suppression,5,32:5,32,5,1.0,0.5236918694125026,3.6026779642332385
uniform4,suppression_conflict,recency_conflict,5,32:5,32,5,1.0,0.4296576377139235,3.8931933127522504
uniform4,entity_coreference,repeated_name_detection,5,32:5,32,5,1.0,0.7437835399302449,2.3561717674832643
uniform4,entity_coreference,pronoun_antecedent,5,32:5,32,5,1.0,0.8520090988888395,1.754318280862541
uniform4,entity_coreference,simple_ioi_name_mover,5,32:5,32,5,1.0,0.72250756433835,2.415695575559963
uniform4,entity_coreference,negative_name_control,5,32:5,32,5,1.0,0.5374728367269452,3.4642310433699044
uniform2,copy_transport,local_copy,5,64:5,64,5,1.0,0.5583673780057083,1.9824523584336895
uniform2,copy_transport,previous_token,5,64:5,64,5,1.0,0.6937169535116658,1.8684133426357221
uniform2,copy_transport,kv_lookup,5,64:5,64,5,0.99375,0.6771391175521245,2.5699242082182105
uniform2,copy_transport,duplicate_token,5,64:5,64,5,1.0,0.7535151630829625,2.0032336900693797
uniform2,induction,induction_short,5,64:5,64,5,0.9983593821525574,0.7319922481014859,2.1887957487424563
uniform2,induction,induction_long,5,64:5,64,5,0.9962003082036972,0.7055079551480861,2.405853863176169
uniform2,induction,induction_ngram,5,64:5,64,5,0.99833984375,0.745437062032072,2.266751024760558
uniform2,induction,false_induction_control,5,64:5,64,5,1.0,0.7323104427718595,2.2064457162457183
uniform2,position_boundary,bos_sink,5,64:5,64,5,1.0,0.7022026539421321,1.9759874851411865
uniform2,position_boundary,sep_sink,5,64:5,64,5,1.0,0.8572069316191844,1.6648921975631983
uniform2,position_boundary,fixed_offset_prev,5,64:5,64,5,1.0,0.9415280145783511,1.30782468016862
uniform2,position_boundary,punctuation_boundary,5,64:5,64,5,1.0,0.6855151713045105,2.3240485340349815
uniform2,suppression_conflict,distractor_suppression,5,64:5,64,5,1.0,0.5611499530510162,2.7811741063860227
uniform2,suppression_conflict,anti_copy,5,64:5,64,5,0.998828125,0.7683504049820663,1.8492105068058677
uniform2,suppression_conflict,wrong_key_suppression,5,64:5,64,5,0.998046875,0.5688997793978497,2.2577960310045477
uniform2,suppression_conflict,recency_conflict,5,64:5,64,5,1.0,0.5482485468721803,2.0901127176445513
uniform2,entity_coreference,repeated_name_detection,5,64:5,64,5,1.0,0.5508777861338656,2.9699538540379264
uniform2,entity_coreference,pronoun_antecedent,5,64:5,64,5,0.999609375,0.616290267433331,2.3266899463085657
uniform2,entity_coreference,simple_ioi_name_mover,5,64:5,64,5,1.0,0.6300513425874362,2.2412765986413046
uniform2,entity_coreference,negative_name_control,5,64:5,64,5,0.993359375,0.653684502254521,2.0331061961427785
hetero4_unique_mild,copy_transport,local_copy,5,48:5,48,5,1.0,0.5163032514651714,2.7260594058991527
hetero4_unique_mild,copy_transport,previous_token,5,"16:1, 24:1, 40:1, 48:2",48,2,1.0,0.6766494172237905,2.4108870300647984
