config,seed,layer,head,head_dim,role,local_prev_attention_score,induction_match_attention_score,induction_source_next_attention_score,ablation_accuracy_delta,role_score,specialization
uniform4,1,0,0,32,local,0.5695978403091431,0.06051941215991974,0.04165419563651085,-0.003662109375,0.04673166505108384,0.5648362606630901
uniform4,1,0,0,32,induction,0.5695978403091431,0.06051941215991974,0.04165419563651085,-0.11796870827674866,0.7668657299909682,0.13114602265544206
uniform4,1,0,1,32,local,0.6207313537597656,0.0511711984872818,0.04216926544904709,-0.002685546875,0.02063395917230082,0.24939852515028155
uniform4,1,0,1,32,induction,0.6207313537597656,0.0511711984872818,0.04216926544904709,-0.1542317196726799,1.0646412965688796,0.1820702974970415
uniform4,1,0,2,32,local,0.6062486171722412,0.0640607476234436,0.04280160740017891,-0.0006103515625,0.0056442639070155565,0.06822108555193392
uniform4,1,0,2,32,induction,0.6062486171722412,0.0640607476234436,0.04280160740017891,-0.3525390326976776,2.8398619440231414,0.48566076730743074
uniform4,1,0,3,32,local,0.605224072933197,0.05559280142188072,0.04286099970340729,-0.0010986328125,0.009725000377329707,0.11754412863469442
uniform4,1,0,3,32,induction,0.605224072933197,0.05559280142188072,0.04286099970340729,-0.23574214428663254,1.1760499176416488,0.20112291254008566
uniform4,1,1,0,32,local,0.9999884366989136,0.13797008991241455,0.7846497893333435,0.0,0.007950039599563752,0.3339767798334489
uniform4,1,1,0,32,induction,0.9999884366989136,0.13797008991241455,0.7846497893333435,-0.01627599447965622,0.1164916275847645,0.2800892543374499
uniform4,1,1,1,32,local,0.9999851584434509,0.15400268137454987,0.7631587386131287,0.0,0.0036842503659499926,0.15477332633509194
uniform4,1,1,1,32,induction,0.9999851584434509,0.15400268137454987,0.7631587386131287,-0.01542963832616806,0.09112836204803898,0.21910651867625383
uniform4,1,1,2,32,local,0.999984860420227,0.14738725125789642,0.7699015736579895,0.0,0.0024370498622374726,0.10237912089498072
uniform4,1,1,2,32,induction,0.999984860420227,0.14738725125789642,0.7699015736579895,-0.007942654192447662,0.06199013086370542,0.1490473597964134
uniform4,1,1,3,32,local,0.9999890327453613,0.14050695300102234,0.7799677848815918,0.0,0.00973282884388027,0.4088707729364784
uniform4,1,1,3,32,induction,0.9999890327453613,0.14050695300102234,0.7799677848815918,-0.023177027702331543,0.14629882917142822,0.35175686718988286
uniform4,2,0,0,32,local,0.596564769744873,0.051023274660110474,0.038787804543972015,0.0,5.0127982831327245e-06,0.004330411962467412
