config,seed,head_dims_json,eval_loss,local_loss,induction_loss,local_accuracy,induction_accuracy,local_top_layer,local_top_head,local_top_head_dim,local_top_role_score,local_top_specialization,local_random_same_layer_role_score_mean,local_top_accuracy_delta,induction_top_layer,induction_top_head,induction_top_head_dim,induction_top_role_score,induction_top_specialization,induction_random_same_layer_role_score_mean,induction_top_accuracy_delta,same_top_slot,same_top_head_dim,role_distribution_tv_distance,role_distribution_overlap
uniform4,1,"[32, 32, 32, 32]",0.0002882498338294681,0.00011946584982069908,0.00045703380965278484,1.0,1.0,0,0,32,0.04673166505108384,0.5648362606630901,0.015522915506608115,-0.003662109375,0,2,32,2.8398619440231414,0.48566076730743074,1.0831236612830253,-0.3525390326976776,False,True,0.49691917807930575,0.5030808219206943
uniform4,2,"[32, 32, 32, 32]",0.0008069742034422234,0.0001302991295233369,0.001483649291913025,1.0,0.9998698011040688,1,2,32,0.008585815958213061,0.3218017480276293,0.006131538953923155,-0.0009765625,1,3,32,0.2081736342079239,0.2802617642001475,0.1796511013089912,-0.03808589279651642,False,True,0.31814645585597623,0.6818535441440238
uniform4,3,"[32, 32, 32, 32]",0.012665073678363115,0.000586548587307334,0.024743598653003573,0.9998779296875,0.9944662153720856,1,2,32,0.018473132280632854,0.39938130591580284,0.009466218856687192,-0.0023193359375,1,1,32,0.35397920315153897,0.29980435386499676,0.27034392091445625,-0.06471356004476547,False,True,0.1965594780067474,0.8034405219932526
uniform4,4,"[32, 32, 32, 32]",0.0002921284940384794,0.00012375056758173741,0.0004605064204952214,1.0,1.0,1,2,32,0.01512296238433919,0.46060357860463497,0.006003987709846115,-0.0013427734375,0,1,32,1.7035083016344288,0.579749999491812,0.4733498247769603,-0.24231766909360886,False,True,0.6744894012501723,0.3255105987498277
uniform4,5,"[32, 32, 32, 32]",0.00024970279991975985,8.767203507886734e-05,0.00041173356294166297,1.0,1.0,1,1,32,0.00799543462380825,0.35683348465766546,0.004442301726157893,0.0,0,0,32,0.6135490019369172,0.8899253899603886,0.03198429257099633,-0.12115880846977234,False,True,0.5294188897790891,0.47058111022091087
uniform4,6,"[32, 32, 32, 32]",0.0002825252522598021,0.00011575706685107434,0.0004492934422160033,1.0,1.0,0,3,32,0.009191829726660217,0.9316980952333977,0.0002492741309652047,-0.0015869140625,0,3,32,0.8445519570632314,0.6116721440927417,0.17970246975528426,-0.14225256443023682,True,True,0.40675087255767595,0.593249127442324
uniform4,7,"[32, 32, 32, 32]",0.0002671047732292209,0.00010359632869949564,0.0004306132141209673,1.0,1.0,1,2,32,0.019376831281988416,0.3590575655714798,0.012167577027867083,-0.00146484375,0,1,32,3.5239743297752284,0.5507882841692315,0.9764155962802761,-0.45026038587093353,False,True,0.767661447845611,0.23233855215438887
uniform4,8,"[32, 32, 32, 32]",0.00029874993924750015,0.00011823015847767238,0.00047926972547429614,1.0,1.0,0,1,32,0.04698398102300416,0.6668867107554697,0.01377850488063359,-0.0045166015625,0,3,32,0.8101073615725909,0.4345576923132896,0.4366567498545919,-0.15696610510349274,False,True,0.2838917702228783,0.7161082297771217
uniform4,9,"[32, 32, 32, 32]",0.00026551822884357534,0.0001097837903216714,0.0004212526655464899,1.0,1.0,0,2,32,0.0621180465004727,0.5991074000067989,0.00044658723913926224,-0.0057373046875,0,2,32,5.746475491108868,0.7540872089657702,0.9046156773820258,-0.6617187298834324,True,True,0.23793098014745878,0.7620690198525412
uniform4,10,"[32, 32, 32, 32]",0.0003094973653787747,0.00013223894529801328,0.0004867557836405467,1.0,1.0,0,0,32,0.18701849087483424,0.9615396978922928,0.0015561429797799065,-0.01611328125,0,0,32,7.9679041858362325,0.8998522816999499,0.31898683305553277,-0.7825520727783442,True,True,0.06657612374441074,0.9334238762555893
