config,seed,role_a,family_a,role_b,family_b,same_family,tv_distance,similarity
uniform2,1,local_a,local_copy,local_b,local_copy,True,0.0659938315463457,0.9340061684536543
uniform2,1,local_a,local_copy,kv_a,kv_lookup,False,0.735477768930128,0.26452223106987205
uniform2,1,local_a,local_copy,kv_b,kv_lookup,False,0.7292449270463104,0.2707550729536896
uniform2,1,local_a,local_copy,induction_short,induction,False,0.913018671705604,0.08698132829439598
uniform2,1,local_a,local_copy,induction_long,induction,False,0.8261961597936406,0.17380384020635942
uniform2,1,local_b,local_copy,kv_a,kv_lookup,False,0.7378579826649316,0.26214201733506837
uniform2,1,local_b,local_copy,kv_b,kv_lookup,False,0.7296214398717957,0.27037856012820427
uniform2,1,local_b,local_copy,induction_short,induction,False,0.9153988854404076,0.0846011145595924
uniform2,1,local_b,local_copy,induction_long,induction,False,0.8285763735284442,0.17142362647155585
uniform2,1,kv_a,kv_lookup,kv_b,kv_lookup,True,0.019224540054250054,0.98077545994575
uniform2,1,kv_a,kv_lookup,induction_short,induction,False,0.8975498979921922,0.1024501020078078
uniform2,1,kv_a,kv_lookup,induction_long,induction,False,0.7711777978010809,0.22882220219891913
uniform2,1,kv_b,kv_lookup,induction_short,induction,False,0.9150223726149223,0.08497762738507775
uniform2,1,kv_b,kv_lookup,induction_long,induction,False,0.788650272423811,0.21134972757618897
uniform2,1,induction_short,induction,induction_long,induction,True,0.12637210019111134,0.8736278998088887
uniform2,2,local_a,local_copy,local_b,local_copy,True,0.061930714635750034,0.9380692853642499
uniform2,2,local_a,local_copy,kv_a,kv_lookup,False,0.4656251107223397,0.5343748892776603
uniform2,2,local_a,local_copy,kv_b,kv_lookup,False,0.43167314248919725,0.5683268575108027
uniform2,2,local_a,local_copy,induction_short,induction,False,0.9042243142994322,0.09577568570056783
uniform2,2,local_a,local_copy,induction_long,induction,False,0.8316950504321099,0.1683049495678901
uniform2,2,local_b,local_copy,kv_a,kv_lookup,False,0.4660879976522835,0.5339120023477165
uniform2,2,local_b,local_copy,kv_b,kv_lookup,False,0.432136029419141,0.567863970580859
uniform2,2,local_b,local_copy,induction_short,induction,False,0.9046872012293758,0.09531279877062415
uniform2,2,local_b,local_copy,induction_long,induction,False,0.8321579373620537,0.16784206263794632
uniform2,2,kv_a,kv_lookup,kv_b,kv_lookup,True,0.03395196823314248,0.9660480317668575
uniform2,2,kv_a,kv_lookup,induction_short,induction,False,0.8707684304738527,0.12923156952614734
uniform2,2,kv_a,kv_lookup,induction_long,induction,False,0.7950842093771796,0.2049157906228204
uniform2,2,kv_b,kv_lookup,induction_short,induction,False,0.8793286574399696,0.12067134256003043
uniform2,2,kv_b,kv_lookup,induction_long,induction,False,0.8036444363432964,0.1963555636567036
uniform2,2,induction_short,induction,induction_long,induction,True,0.07568422109667303,0.924315778903327
uniform2,3,local_a,local_copy,local_b,local_copy,True,0.026577775646846682,0.9734222243531533
uniform2,3,local_a,local_copy,kv_a,kv_lookup,False,0.48438416027482506,0.5156158397251749
uniform2,3,local_a,local_copy,kv_b,kv_lookup,False,0.38376430143345797,0.616235698566542
uniform2,3,local_a,local_copy,induction_short,induction,False,0.9247641750481498,0.07523582495185022
uniform2,3,local_a,local_copy,induction_long,induction,False,0.8434600300818915,0.15653996991810848
uniform2,3,local_b,local_copy,kv_a,kv_lookup,False,0.48314793702188985,0.5168520629781101
uniform2,3,local_b,local_copy,kv_b,kv_lookup,False,0.38252807818052265,0.6174719218194773
uniform2,3,local_b,local_copy,induction_short,induction,False,0.9235279517952146,0.07647204820478537
uniform2,3,local_b,local_copy,induction_long,induction,False,0.8422238068289563,0.15777619317104374
