config,seed,role,family,loss,accuracy,top_layer,top_head,top_head_dim,top_role_score,global_top_specialization,effective_heads,top_dim,top_dim_mass,head_dim_affinity_json
uniform2,1,local_a,local_copy,0.00033826316939666867,1.0,1,0,64,0.01408812723821029,0.609596472756459,1.9806800753414386,64,1.0,"{""64"": 1.0}"
uniform2,1,local_b,local_copy,0.0005290155604598112,1.0,1,0,64,0.014647239462647121,0.5459828549449169,1.9915482541784506,64,1.0,"{""64"": 1.0}"
uniform2,1,kv_a,kv_lookup,0.006548181176185608,0.998046875,0,0,64,1.996208295226097,0.7200089952167162,2.2939385501336234,64,1.0,"{""64"": 1.0}"
uniform2,1,kv_b,kv_lookup,0.002351764705963433,1.0,0,0,64,2.3553385994164273,0.7292449270463104,2.1530498531758826,64,1.0,"{""64"": 1.0}"
uniform2,1,induction_short,induction,0.018772329320199788,0.9960937798023224,0,1,64,5.061626349459402,0.9153988854404075,1.4161743632932187,64,1.0,"{""64"": 1.0}"
uniform2,1,induction_long,induction,0.024865686427801847,0.9933594167232513,0,1,64,7.5221320991404355,0.7890267852492961,2.085312238482265,64,1.0,"{""64"": 1.0}"
uniform2,2,local_a,local_copy,0.00030294623866211623,1.0,1,0,64,0.012461898106266744,0.5896512543893595,1.975041865035106,64,1.0,"{""64"": 1.0}"
uniform2,2,local_b,local_copy,0.0002663800842128694,1.0,1,0,64,0.013513933692593127,0.5281834266835532,1.996823618377266,64,1.0,"{""64"": 1.0}"
uniform2,2,kv_a,kv_lookup,0.003484238899545744,0.998046875,0,1,64,0.6514789415232372,0.4324597778896228,3.240934778758703,64,1.0,"{""64"": 1.0}"
uniform2,2,kv_b,kv_lookup,0.0031724867003504187,1.0,0,1,64,0.6162070635182317,0.4070680366225973,3.1973555784138568,64,1.0,"{""64"": 1.0}"
uniform2,2,induction_short,induction,0.0005975087115075439,1.0,0,0,64,4.585847346024821,0.9043966502365133,1.4648568352634004,64,1.0,"{""64"": 1.0}"
uniform2,2,induction_long,induction,0.0033383851405233145,0.9996094256639481,0,0,64,7.458173346007243,0.8287124291398402,1.8045744322404025,64,1.0,"{""64"": 1.0}"
uniform2,3,local_a,local_copy,0.0003204318054486066,1.0,1,0,64,0.010534569359151646,0.5300841307469162,1.996380871396949,64,1.0,"{""64"": 1.0}"
uniform2,3,local_b,local_copy,0.00024592400586698204,1.0,1,0,64,0.018178281010477804,0.5035063551000695,2.017318315416997,64,1.0,"{""64"": 1.0}"
uniform2,3,kv_a,kv_lookup,0.0031838256400078535,1.0,0,0,64,0.47748547163791955,0.42488087714212175,3.422825639465509,64,1.0,"{""64"": 1.0}"
uniform2,3,kv_b,kv_lookup,0.0027421671547926962,1.0,0,0,64,0.3762565743527375,0.3463383803500767,3.3724868768939755,64,1.0,"{""64"": 1.0}"
uniform2,3,induction_short,induction,0.000867015216499567,1.0,0,1,64,4.718800538685173,0.9233241414637843,1.3907518150760634,64,1.0,"{""64"": 1.0}"
uniform2,3,induction_long,induction,0.007344337529502809,0.9988281726837158,0,1,64,6.774007467203774,0.8150974793948069,1.9472412593310235,64,1.0,"{""64"": 1.0}"
uniform2,4,local_a,local_copy,0.0003240743462811224,1.0,1,0,64,0.011164995441504288,0.6365588772492786,1.948021303668706,64,1.0,"{""64"": 1.0}"
uniform2,4,local_b,local_copy,0.0002588342540548183,1.0,1,0,64,0.008540283270122018,0.5401814731819264,1.99354526590752,64,1.0,"{""64"": 1.0}"
uniform2,4,kv_a,kv_lookup,0.0013962400262244046,1.0,0,1,64,1.159434123605024,0.6565269280153269,2.5558301507065515,64,1.0,"{""64"": 1.0}"
uniform2,4,kv_b,kv_lookup,0.0016486578388139606,1.0,0,1,64,1.3759112424449995,0.6782221965777182,2.3644308282473503,64,1.0,"{""64"": 1.0}"
uniform2,4,induction_short,induction,0.0004414487848407589,1.0,0,0,64,4.424994332694041,0.9331351906654987,1.3384725699438411,64,1.0000000000000002,"{""64"": 1.0000000000000002}"
uniform2,4,induction_long,induction,0.002665534266270697,0.9994792193174362,0,0,64,7.092738375416957,0.8587579736800353,1.6656636123987631,64,1.0,"{""64"": 1.0}"
uniform2,5,local_a,local_copy,0.00034400090225972235,1.0,1,0,64,0.009563412721036002,0.5483149994912094,1.9906698884889955,64,1.0,"{""64"": 1.0}"
uniform2,5,local_b,local_copy,0.00028784151800209656,1.0,1,0,64,0.010790617576276418,0.5283146110666651,1.9967939874858867,64,1.0,"{""64"": 1.0}"
uniform2,5,kv_a,kv_lookup,0.008468316053040326,0.99609375,1,0,64,0.3740539987338707,0.35760912156013064,3.706051189718903,64,1.0,"{""64"": 1.0}"
uniform2,5,kv_b,kv_lookup,0.0018536182469688356,1.0,1,0,64,0.4022874129586853,0.3928887293831499,3.3611116777850687,64,1.0,"{""64"": 1.0}"
uniform2,5,induction_short,induction,0.0006960062019061297,1.0,0,0,64,2.4796580048569012,0.8207448489787618,1.8487971527545246,64,1.0,"{""64"": 1.0}"
uniform2,5,induction_long,induction,0.003513942880090326,0.9998698085546494,0,0,64,4.498323191481177,0.5912411954655535,2.9801764238542603,64,1.0,"{""64"": 1.0}"
"32,96",1,local_a,local_copy,0.00035763120831688866,1.0,1,1,96,0.08576732539950171,0.9910879067355309,1.0543389281704454,96,0.9910879067355309,"{""32"": 0.008912093264469024, ""96"": 0.9910879067355309}"
"32,96",1,local_b,local_copy,0.00026447998243384063,1.0,1,1,96,0.0975300844584126,0.9941949669216933,1.0371618495835826,96,0.9941949669216933,"{""32"": 0.005805033078306746, ""96"": 0.9941949669216933}"
"32,96",1,kv_a,kv_lookup,0.008624043635791168,0.998046875,0,1,96,3.544644746609265,0.5163116039776682,2.042419144140356,96,0.9967652007138338,"{""32"": 0.0032347992861661936, ""96"": 0.9967652007138338}"
"32,96",1,kv_b,kv_lookup,0.0027130365488119423,1.0,0,1,96,3.5790493368986063,0.5019955076848606,2.0157297625271378,96,0.9988973060043148,"{""32"": 0.0011026939956851577, ""96"": 0.9988973060043148}"
"32,96",1,induction_short,induction,0.0008395605982514098,1.0,0,1,96,3.1328699297009734,0.5098584788203683,2.723111599852283,96,0.8468847378331392,"{""32"": 0.15311526216686078, ""96"": 0.8468847378331392}"
"32,96",1,induction_long,induction,0.017959205899387598,0.9957031905651093,0,1,96,4.990305574145168,0.402956075034911,3.03580917852402,96,0.6858497863254551,"{""32"": 0.31415021367454476, ""96"": 0.6858497863254551}"
"32,96",2,local_a,local_copy,0.00035431374271865934,1.0,1,1,96,0.04659311055729631,0.9858197590607864,1.0772688460337256,96,0.9858197590607864,"{""32"": 0.014180240939213516, ""96"": 0.9858197590607864}"
"32,96",2,local_b,local_copy,0.0002965592357213609,1.0,1,1,96,0.10063199135038303,0.9939527096392768,1.0376093908139927,96,0.9939527096392768,"{""32"": 0.0060472903607231435, ""96"": 0.9939527096392768}"
"32,96",2,kv_a,kv_lookup,0.0017776449967641383,1.0,0,1,96,3.3802332321356516,0.5380220328820261,2.0203715756142406,96,0.9981751597806208,"{""32"": 0.0018248402193792924, ""96"": 0.9981751597806208}"
